Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
1,12.75,12.75,2,12.85,12.85,4,13.14,13.14,3,12.93,12.93
2,10.03,22.78,3,10.00,22.85,4,9.71,22.85,1,9.75,22.68
2,9.86,32.64,4,9.93,32.78,3,9.90,32.75,1,9.89,32.57
2,10.02,42.66,3,10.03,42.81,4,10.40,43.15,1,9.99,42.56
1,9.72,52.38,3,9.85,52.66,4,10.35,53.50,2,9.96,52.52
1,9.76,1:02.14,3,9.72,1:02.38,4,10.69,1:04.19,2,9.72,1:02.24
1,9.86,1:12.00,3,9.85,1:12.23,4,11.16,1:15.35,2,9.87,1:12.11
1,9.99,1:21.99,3,10.05,1:22.28,4,11.51,1:26.86,2,9.97,1:22.08
1,9.99,1:31.974,3,10.85,1:33.126,4,12.09,1:38.944,2,10.01,1:32.090
