ASCIC Valentina POSITION,ASCIC Valentina LAP TIME,ASCIC Valentina ELAPSED TIME,Hannah MORRISON POSITION,Hannah MORRISON LAP TIME,Hannah MORRISON ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME,Michaela KUNCIROVA POSITION,Michaela KUNCIROVA LAP TIME,Michaela KUNCIROVA ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME
4,11.53,11.53,6,11.83,11.83,1,11.30,11.30,2,11.37,11.37,5,11.63,11.63,3,11.47,11.47,7,11.98,11.98
4,14.73,26.26,7,14.62,26.45,2,14.77,26.07,3,14.82,26.19,5,14.70,26.33,1,14.50,25.97,6,14.42,26.40
5,15.05,41.31,7,15.17,41.62,1,14.86,40.93,3,14.90,41.09,2,14.75,41.08,4,15.21,41.18,6,15.10,41.50
6,13.87,55.18,7,13.58,55.20,1,13.70,54.63,3,13.79,54.88,2,13.67,54.75,5,13.85,55.03,4,13.51,55.01
7,12.63,1:07.81,5,12.56,1:07.76,1,12.80,1:07.43,4,12.73,1:07.61,3,12.79,1:07.54,6,12.75,1:07.78,2,12.44,1:07.45
7,10.77,1:18.58,4,10.59,1:18.35,2,10.76,1:18.19,3,10.59,1:18.20,5,10.90,1:18.44,6,10.68,1:18.46,1,10.73,1:18.18
7,10.05,1:28.63,5,10.22,1:28.57,2,9.90,1:28.09,1,9.71,1:27.91,6,10.18,1:28.62,4,9.92,1:28.38,3,10.15,1:28.33
5,9.72,1:38.35,6,9.96,1:38.53,2,9.84,1:37.93,1,9.91,1:37.82,7,10.08,1:38.70,4,9.85,1:38.23,3,9.77,1:38.10
5,9.98,1:48.33,6,9.91,1:48.44,2,10.12,1:48.05,1,10.12,1:47.94,7,9.86,1:48.56,4,10.03,1:48.26,3,10.06,1:48.16
6,10.42,1:58.75,5,10.12,1:58.56,2,10.17,1:58.22,1,10.19,1:58.13,7,10.28,1:58.84,4,10.21,1:58.47,3,10.18,1:58.34
6,10.09,2:08.84,4,10.13,2:08.69,3,10.29,2:08.51,1,10.28,2:08.41,7,10.03,2:08.87,5,10.24,2:08.71,2,10.16,2:08.50
7,10.46,2:19.30,4,10.35,2:19.04,3,10.46,2:18.97,2,10.45,2:18.86,6,10.40,2:19.27,5,10.47,2:19.18,1,10.07,2:18.57
7,10.69,2:29.99,4,10.57,2:29.61,3,10.53,2:29.50,2,10.40,2:29.26,5,10.40,2:29.67,6,10.72,2:29.90,1,10.09,2:28.66
6,10.71,2:40.678,5,10.92,2:40.509,3,,2:39.921,2,10.58,2:39.824,4,,2:39.937,7,11.08,2:40.958,1,10.39,2:39.031
