Bor Luka URLEP POSITION,Bor Luka URLEP LAP TIME,Bor Luka URLEP ELAPSED TIME,ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME,Mukerrem DENIZ POSITION,Mukerrem DENIZ LAP TIME,Mukerrem DENIZ ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME
2,20.84,20.84,3,20.97,20.97,1,20.64,20.64,4,21.15,21.15
3,17.68,38.52,2,17.47,38.44,1,17.74,38.38,4,17.56,38.71
3,16.38,54.90,1,16.14,54.58,2,16.34,54.72,4,16.41,55.12
3,14.23,1:09.13,1,14.24,1:08.82,2,14.28,1:09.00,4,14.22,1:09.34
3,10.57,1:19.70,1,10.52,1:19.34,2,10.52,1:19.52,4,10.51,1:19.85
4,9.35,1:29.05,1,9.13,1:28.47,2,9.18,1:28.70,3,8.86,1:28.71
4,9.23,1:38.28,2,8.96,1:37.43,3,8.99,1:37.69,1,8.40,1:37.11
4,9.41,1:47.69,2,9.02,1:46.45,3,8.87,1:46.56,1,8.42,1:45.53
4,9.62,1:57.31,3,9.42,1:55.87,2,9.14,1:55.70,1,9.54,1:55.07
