KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,HAN Seung Soo POSITION,HAN Seung Soo LAP TIME,HAN Seung Soo ELAPSED TIME
2,7.03,7.03,3,7.11,7.11,1,6.82,6.82,4,7.22,7.22
2,8.86,15.89,3,8.88,15.99,1,8.94,15.76,4,8.86,16.08
1,8.36,24.25,3,8.41,24.40,2,8.57,24.33,4,8.42,24.50
1,8.52,32.77,4,28.17,52.57,2,8.57,32.90,3,27.17,51.67
1,8.59,41.360,4,22.04,1:14.607,2,8.92,41.818,3,17.87,1:09.532
