HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME
1,13.95,13.95,2,14.08,14.08,3,14.32,14.32,4,14.50,14.50
1,10.67,24.62,2,10.65,24.73,3,10.56,24.88,4,10.51,25.01
1,10.82,35.44,2,10.81,35.54,3,10.79,35.67,4,10.78,35.79
2,10.43,45.87,1,10.22,45.76,3,10.37,46.04,4,10.40,46.19
2,9.69,55.56,1,9.72,55.48,3,9.65,55.69,4,9.71,55.90
4,9.61,1:05.17,2,9.53,1:05.01,1,9.31,1:05.00,3,9.25,1:05.15
4,9.55,1:14.72,3,9.28,1:14.29,1,8.83,1:13.83,2,8.87,1:14.02
4,10.03,1:24.75,3,9.31,1:23.60,1,8.94,1:22.77,2,8.87,1:22.89
4,10.55,1:35.30,3,9.87,1:33.47,1,9.00,1:31.77,2,9.00,1:31.89
