Amelie GOULET-NADON POSITION,Amelie GOULET-NADON LAP TIME,Amelie GOULET-NADON ELAPSED TIME,Anna KRASTEVA POSITION,Anna KRASTEVA LAP TIME,Anna KRASTEVA ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,KO Gi-Hyun POSITION,KO Gi-Hyun LAP TIME,KO Gi-Hyun ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME
4,9.581,9.581,2,9.297,9.297,1,9.069,9.069,5,9.603,9.603,3,9.372,9.372
5,11.727,21.308,2,11.763,21.060,1,11.774,20.843,4,11.687,21.290,3,11.813,21.185
4,11.086,32.393,2,11.160,32.220,1,11.154,31.997,5,11.137,32.427,3,11.049,32.233
4,11.095,43.487,2,11.174,43.393,1,11.131,43.128,5,11.127,43.554,3,11.202,43.435
5,11.113,54.600,2,11.138,54.531,1,11.201,54.328,4,11.047,54.600,3,11.109,54.544
1,10.665,1:05.264,4,10.896,1:05.426,2,10.968,1:05.296,3,10.798,1:05.398,5,10.960,1:05.503
2,9.879,1:15.143,4,9.936,1:15.362,3,9.880,1:15.176,1,9.720,1:15.117,5,9.945,1:15.448
1,10.203,1:25.345,4,10.227,1:25.589,2,10.201,1:25.376,3,10.261,1:25.378,5,10.161,1:25.609
2,10.356,1:35.701,4,10.351,1:35.939,3,10.358,1:35.734,1,10.178,1:35.555,5,10.365,1:35.973
2,9.948,1:45.649,5,9.953,1:45.892,3,9.925,1:45.659,1,9.822,1:45.376,4,9.844,1:45.817
3,9.830,1:55.478,5,9.938,1:55.830,2,9.742,1:55.400,1,9.848,1:55.224,4,9.787,1:55.604
3,10.043,2:05.521,5,10.482,2:06.311,2,9.969,2:05.369,1,9.959,2:05.182,4,9.960,2:05.564
3,9.919,2:15.439,5,11.289,2:17.600,2,9.990,2:15.358,1,9.987,2:15.169,4,9.999,2:15.562
2,9.93,2:25.365,5,12.17,2:29.764,3,10.17,2:25.521,1,10.10,2:25.269,4,10.19,2:25.746
