PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME
2,13.23,13.23,1,13.10,13.10,4,13.47,13.47,3,13.34,13.34
3,10.37,23.60,1,10.42,23.52,2,10.12,23.59,4,10.45,23.79
2,9.80,33.40,1,9.77,33.29,3,9.91,33.50,4,9.80,33.59
2,10.20,43.60,1,10.21,43.50,3,10.19,43.69,4,10.17,43.76
2,10.06,53.66,1,10.07,53.57,3,10.07,53.76,4,10.13,53.89
3,10.04,1:03.70,1,9.87,1:03.44,2,9.83,1:03.59,4,9.91,1:03.80
3,9.61,1:13.31,1,9.59,1:13.03,2,9.60,1:13.19,4,9.62,1:13.42
3,9.48,1:22.79,1,9.63,1:22.66,2,9.57,1:22.76,4,9.54,1:22.96
2,9.54,1:32.328,1,9.59,1:32.244,3,9.65,1:32.406,4,9.79,1:32.750
