Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Andre HARTWIG POSITION,Andre HARTWIG LAP TIME,Andre HARTWIG ELAPSED TIME
2,6.765,6.765,3,6.807,6.807,1,6.682,6.682,4,6.881,6.881
1,8.922,15.686,4,9.478,16.284,2,9.248,15.930,3,9.128,16.009
1,8.734,24.420,4,21.963,38.246,2,8.791,24.721,3,8.736,24.745
1,8.813,33.232,4,13.002,51.248,3,8.790,33.511,2,8.706,33.450
1,8.99,42.222,4,16.25,1:07.489,2,9.02,42.530,3,9.18,42.624
