Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME
2,12.43,12.43,3,12.54,12.54,1,12.27,12.27,4,12.61,12.61
2,9.37,21.80,3,9.36,21.90,1,9.41,21.68,4,9.34,21.95
2,9.44,31.24,3,9.41,31.31,1,9.46,31.14,4,9.44,31.39
2,9.46,40.70,3,9.48,40.79,1,9.47,40.61,4,9.47,40.86
2,9.36,50.06,3,9.39,50.18,1,9.36,49.97,4,9.42,50.28
1,9.11,59.17,2,9.10,59.28,3,9.38,59.35,4,9.19,59.47
1,9.03,1:08.20,2,9.00,1:08.28,3,9.33,1:08.68,4,9.36,1:08.83
1,9.36,1:17.56,2,9.34,1:17.62,3,9.41,1:18.09,4,9.40,1:18.23
1,9.16,1:26.714,2,9.16,1:26.780,3,9.82,1:27.907,4,9.74,1:27.968
