KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME
3,13.77,13.77,2,13.77,13.77,1,13.69,13.69,4,13.91,13.91,5,13.91,13.91
3,10.50,24.27,4,10.62,24.39,1,10.40,24.09,2,10.28,24.19,5,10.56,24.47
3,10.32,34.59,4,10.31,34.70,1,10.34,34.43,2,10.34,34.53,5,10.30,34.77
4,11.49,46.08,2,11.32,46.02,1,11.39,45.82,5,11.98,46.51,3,11.29,46.06
4,9.28,55.36,2,9.16,55.18,1,9.25,55.07,5,9.14,55.65,3,9.20,55.26
4,9.68,1:05.04,2,9.64,1:04.82,1,9.65,1:04.72,5,9.70,1:05.35,3,9.67,1:04.93
4,9.21,1:14.25,2,9.24,1:14.06,1,9.30,1:14.02,5,9.75,1:15.10,3,9.30,1:14.23
3,9.01,1:23.26,1,8.93,1:22.99,2,9.08,1:23.10,5,10.38,1:25.48,4,9.42,1:23.65
3,9.17,1:32.428,1,9.33,1:32.316,2,9.31,1:32.402,0,,PEN,4,9.73,1:33.377
