Yu MIURA POSITION,Yu MIURA LAP TIME,Yu MIURA ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Maxime FORTIN POSITION,Maxime FORTIN LAP TIME,Maxime FORTIN ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME
1,13.24,13.24,2,13.30,13.30,3,13.33,13.33,4,13.61,13.61
2,10.55,23.79,1,10.39,23.69,3,10.56,23.89,4,10.33,23.94
3,9.83,33.62,1,9.75,33.44,2,9.65,33.54,4,9.69,33.63
3,9.57,43.19,1,9.52,42.96,2,9.52,43.06,4,9.68,43.31
3,9.50,52.69,1,9.49,52.45,2,9.49,52.55,4,9.51,52.82
3,9.32,1:02.01,2,9.45,1:01.90,1,9.26,1:01.81,4,9.20,1:02.02
4,9.41,1:11.42,2,9.24,1:11.14,1,9.24,1:11.05,3,9.31,1:11.33
3,9.39,1:20.81,2,9.20,1:20.34,1,9.16,1:20.21,4,9.54,1:20.87
3,9.75,1:30.551,2,9.48,1:29.819,1,9.37,1:29.575,4,9.94,1:30.801
