Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Yulyia YELSAKOVA POSITION,Yulyia YELSAKOVA LAP TIME,Yulyia YELSAKOVA ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,TIKHANINA Elena POSITION,TIKHANINA Elena LAP TIME,TIKHANINA Elena ELAPSED TIME
3,14.309,14.309,4,14.383,14.383,5,14.658,14.658,2,14.275,14.275,1,14.077,14.077
3,10.315,24.624,4,10.244,24.626,5,10.149,24.806,2,10.281,24.555,1,10.468,24.544
3,10.069,34.692,2,9.813,34.439,5,10.111,34.917,1,9.879,34.434,4,10.177,34.721
2,9.765,44.457,1,9.819,44.258,5,9.870,44.786,3,10.042,44.476,4,9.912,44.632
3,10.130,54.587,1,10.125,54.382,5,10.033,54.818,2,9.975,54.451,4,9.993,54.625
2,9.906,1:04.492,1,9.839,1:04.221,5,10.173,1:04.990,3,10.050,1:04.500,4,10.086,1:04.711
3,9.667,1:14.159,2,9.788,1:14.008,5,10.229,1:15.218,1,9.490,1:13.989,4,10.118,1:14.829
2,9.799,1:23.958,1,9.690,1:23.697,5,10.519,1:25.737,3,10.139,1:24.128,4,10.321,1:25.149
1,10.32,1:34.270,0,,DQ,4,10.80,1:36.536,2,10.31,1:34.434,3,10.87,1:36.017
