GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME
1,13.26,13.26,2,13.37,13.37,3,13.49,13.49,4,13.63,13.63
2,10.55,23.81,1,10.42,23.79,3,10.46,23.95,4,10.42,24.05
3,9.44,33.25,4,9.47,33.26,1,9.19,33.14,2,9.18,33.23
3,9.02,42.27,4,9.09,42.35,1,8.93,42.07,2,8.92,42.15
3,9.05,51.32,4,9.12,51.47,1,9.18,51.25,2,9.16,51.31
4,10.23,1:01.55,2,9.04,1:00.51,1,9.17,1:00.42,3,9.70,1:01.01
4,9.98,1:11.53,2,9.21,1:09.72,1,9.20,1:09.62,3,9.13,1:10.14
4,10.54,1:22.07,2,9.25,1:18.97,1,9.14,1:18.76,3,9.01,1:19.15
3,10.65,1:32.720,2,9.57,1:28.537,1,9.03,1:27.788,0,,PEN
