EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,Sofya BOYTSOVA POSITION,Sofya BOYTSOVA LAP TIME,Sofya BOYTSOVA ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME
6,10.80,10.80,3,10.46,10.46,1,10.20,10.20,2,10.31,,4,10.57,10.57,5,10.69,10.69,7,10.81,10.81
4,14.62,25.42,1,14.62,25.08,2,15.02,25.22,3,15.04,,5,14.92,25.49,7,14.92,25.61,6,14.78,25.59
1,11.47,36.89,2,11.93,37.01,3,11.89,37.11,4,11.85,,5,11.86,37.35,7,11.97,37.58,6,11.87,37.46
2,11.63,48.52,4,11.61,48.62,1,11.40,48.51,3,11.40,,5,11.46,48.81,7,11.45,49.03,6,11.44,48.90
2,10.22,58.74,4,10.42,59.04,1,10.12,58.63,3,10.24,,5,10.34,59.15,7,10.32,59.35,6,10.34,59.24
2,10.33,1:09.07,4,10.24,1:09.28,1,10.33,1:08.96,3,10.33,,5,10.21,1:09.36,7,10.16,1:09.51,6,10.13,1:09.37
2,10.22,1:19.29,4,10.26,1:19.54,1,10.27,1:19.23,3,10.22,,6,10.40,1:19.76,7,10.39,1:19.90,5,10.28,1:19.65
1,9.59,1:28.88,4,9.62,1:29.16,2,9.74,1:28.97,3,9.67,,6,9.65,1:29.41,7,9.61,1:29.51,5,9.65,1:29.30
1,9.73,1:38.61,4,9.70,1:38.86,2,9.72,1:38.69,3,9.66,,6,9.70,1:39.11,7,9.72,1:39.23,5,9.70,1:39.00
1,9.65,1:48.26,4,9.74,1:48.60,2,9.70,1:48.39,3,9.77,,6,9.66,1:48.77,7,9.66,1:48.89,5,9.68,1:48.68
1,9.60,1:57.86,4,9.49,1:58.09,2,9.56,1:57.95,3,9.54,,6,9.47,1:58.24,7,9.48,1:58.37,5,9.48,1:58.16
1,9.51,2:07.37,7,33.74,2:31.83,2,9.53,2:07.48,6,29.08,,5,9.79,2:08.03,4,9.45,2:07.82,3,9.46,2:07.62
1,9.43,2:16.80,6,19.52,2:51.35,2,9.45,2:16.93,7,30.03,,4,9.17,2:17.20,5,9.40,2:17.22,3,9.33,2:16.95
2,9.59,2:26.39,6,13.58,3:04.93,4,9.75,2:26.68,7,16.79,,1,9.16,2:26.36,5,9.69,2:26.91,3,9.65,2:26.60
