J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME
1,12.66,12.66,2,12.77,12.77,4,13.00,13.00,5,13.15,13.15,3,12.89,12.89
1,10.35,23.01,2,10.36,23.13,4,10.34,23.34,5,10.31,23.46,3,10.33,23.22
1,10.12,33.13,2,10.10,33.23,4,10.15,33.49,5,10.17,33.63,3,10.15,33.37
1,9.75,42.88,3,9.92,43.15,4,9.70,43.19,5,9.68,43.31,2,9.60,42.97
1,9.36,52.24,5,9.73,52.88,3,9.33,52.52,4,9.51,52.82,2,9.36,52.33
2,9.24,1:01.48,5,9.41,1:02.29,3,9.25,1:01.77,4,9.23,1:02.05,1,9.15,1:01.48
2,9.28,1:10.76,5,9.15,1:11.44,3,9.25,1:11.02,4,9.28,1:11.33,1,9.21,1:10.69
1,9.26,1:20.02,4,9.29,1:20.73,3,9.41,1:20.43,5,9.47,1:20.80,2,9.48,1:20.17
1,9.34,1:29.355,4,9.96,1:30.690,3,9.51,1:29.933,5,10.58,1:31.372,2,9.30,1:29.461
