Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME
2,9.23,9.23,4,9.47,9.47,1,9.14,9.14,3,9.39,9.39,6,9.52,9.52,5,9.52,9.52
4,12.85,22.08,6,12.83,22.30,1,12.80,21.94,3,12.65,22.04,2,12.43,21.95,5,12.70,22.22
6,12.16,34.24,5,11.90,34.20,1,12.02,33.96,3,12.08,34.12,2,12.02,33.97,4,11.94,34.16
6,11.98,46.22,4,11.70,45.90,2,11.75,45.71,1,11.51,45.63,3,11.91,45.88,5,11.95,46.11
6,11.54,57.76,3,11.51,57.41,1,11.47,57.18,2,11.67,57.30,4,11.64,57.52,5,11.52,57.63
6,11.22,1:08.98,3,11.25,1:08.66,2,11.34,1:08.52,1,11.14,1:08.44,4,11.27,1:08.79,5,11.25,1:08.88
6,11.21,1:20.19,3,11.20,1:19.86,1,11.20,1:19.72,2,11.31,1:19.75,4,11.08,1:19.87,5,11.21,1:20.09
5,9.76,1:29.95,4,10.06,1:29.92,1,9.99,1:29.71,2,9.99,1:29.74,3,9.93,1:29.80,6,10.02,1:30.11
5,9.70,1:39.65,4,9.63,1:39.55,2,9.60,1:39.31,1,9.49,1:39.23,3,9.67,1:39.47,6,9.57,1:39.68
6,9.69,1:49.34,4,9.61,1:49.16,2,9.73,1:49.04,1,9.74,1:48.97,3,9.69,1:49.16,5,9.58,1:49.26
6,9.62,1:58.96,3,9.33,1:58.49,2,9.24,1:58.28,1,9.22,1:58.19,4,9.50,1:58.66,5,9.56,1:58.82
6,9.72,2:08.68,3,9.13,2:07.62,2,9.12,2:07.40,1,9.14,2:07.33,4,9.25,2:07.91,5,9.53,2:08.35
6,10.01,2:18.69,3,9.09,2:16.71,2,9.23,2:16.63,1,9.18,2:16.51,4,9.34,2:17.25,5,9.91,2:18.26
6,10.64,2:29.325,1,9.05,2:25.756,2,9.29,2:25.913,3,9.41,2:25.918,4,9.70,2:26.944,5,10.46,2:28.713
