Guillaume BLAIS DUFOUR POSITION,Guillaume BLAIS DUFOUR LAP TIME,Guillaume BLAIS DUFOUR ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
4,8.23,8.23,5,8.35,8.35,2,7.89,7.89,1,7.78,7.78,3,7.92,7.92,6,8.46,8.46
4,11.43,19.66,5,11.42,19.77,3,11.59,19.48,2,11.61,19.39,1,11.33,19.25,6,11.43,19.89
4,11.34,31.00,5,11.34,31.11,3,11.26,30.74,2,11.35,30.74,1,11.36,30.61,6,11.33,31.22
4,10.23,41.23,5,10.22,41.33,1,10.03,40.77,3,10.24,40.98,2,10.25,40.86,6,10.21,41.43
4,10.49,51.72,6,10.48,51.81,1,10.66,51.43,3,10.55,51.53,2,10.59,51.45,5,10.38,51.81
5,10.12,1:01.84,6,10.14,1:01.95,1,10.06,1:01.49,3,10.09,1:01.62,2,10.12,1:01.57,4,9.92,1:01.73
5,10.39,1:12.23,6,10.48,1:12.43,1,10.26,1:11.75,2,10.17,1:11.79,3,10.38,1:11.95,4,10.35,1:12.08
5,9.70,1:21.93,6,9.60,1:22.03,2,9.83,1:21.58,1,9.72,1:21.51,3,9.68,1:21.63,4,9.69,1:21.77
6,11.17,1:33.10,5,9.31,1:31.34,4,9.74,1:31.32,2,9.66,1:31.17,1,9.43,1:31.06,3,9.51,1:31.28
6,42.48,2:15.58,2,9.08,1:40.42,5,9.46,1:40.78,3,9.33,1:40.50,1,9.26,1:40.32,4,9.34,1:40.62
6,19.81,2:35.39,2,9.21,1:49.63,5,9.18,1:49.96,3,9.27,1:49.77,1,9.25,1:49.57,4,9.24,1:49.86
6,14.50,2:49.89,1,9.29,1:58.92,5,9.46,1:59.42,3,9.46,1:59.23,2,9.49,1:59.06,4,9.53,1:59.39
6,13.38,3:03.27,1,9.16,2:08.08,4,9.04,2:08.46,3,9.10,2:08.33,2,9.11,2:08.17,5,9.30,2:08.69
6,13.54,3:16.803,1,9.26,2:17.339,3,9.12,2:17.579,4,9.53,2:17.856,2,9.34,2:17.508,5,10.53,2:19.217
