Tunde BALAZS POSITION,Tunde BALAZS LAP TIME,Tunde BALAZS ELAPSED TIME,MYKHALCHUK Diana POSITION,MYKHALCHUK Diana LAP TIME,MYKHALCHUK Diana ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
2,8.99,8.99,1,8.80,8.80,4,9.47,9.47,3,9.30,9.30,7,9.91,9.91,6,9.79,9.79,5,9.58,9.58
2,11.27,20.26,1,11.35,20.15,4,11.09,20.56,3,11.14,20.44,7,11.21,21.12,6,11.12,20.91,5,11.10,20.68
2,10.62,30.88,1,10.63,30.78,4,10.55,31.11,3,10.58,31.02,7,10.42,31.54,6,10.44,31.35,5,10.54,31.22
2,10.60,41.48,1,10.57,41.35,4,10.59,41.70,3,10.59,41.61,7,10.48,42.02,6,10.55,41.90,5,10.58,41.80
2,10.60,52.08,1,10.65,52.00,4,10.64,52.34,3,10.60,52.21,7,10.61,52.63,6,10.64,52.54,5,10.64,52.44
2,10.67,1:02.75,1,10.66,1:02.66,4,10.64,1:02.98,3,10.65,1:02.86,7,10.66,1:03.29,6,10.64,1:03.18,5,10.64,1:03.08
2,10.71,1:13.46,1,10.70,1:13.36,4,10.63,1:13.61,3,10.63,1:13.49,7,10.54,1:13.83,5,10.47,1:13.65,6,10.62,1:13.70
6,10.86,1:24.32,5,10.89,1:24.25,2,10.03,1:23.64,1,10.04,1:23.53,7,10.54,1:24.37,3,10.24,1:23.89,4,10.45,1:24.15
6,10.68,1:35.00,7,11.16,1:35.41,2,9.75,1:33.39,1,9.77,1:33.30,5,10.35,1:34.72,3,9.89,1:33.78,4,9.68,1:33.83
6,10.74,1:45.74,7,11.43,1:46.84,2,9.99,1:43.38,1,9.97,1:43.27,5,10.02,1:44.74,3,9.88,1:43.66,4,10.33,1:44.16
6,11.05,1:56.79,7,11.67,1:58.51,2,10.04,1:53.42,1,10.03,1:53.30,5,10.17,1:54.91,3,9.92,1:53.58,4,9.95,1:54.11
6,11.58,2:08.37,7,12.19,2:10.70,2,10.13,2:03.55,1,10.18,2:03.48,5,10.54,2:05.45,3,10.30,2:03.88,4,10.13,2:04.24
6,12.31,2:20.68,7,12.41,2:23.11,1,9.92,2:13.47,2,10.40,2:13.88,5,11.08,2:16.53,3,10.56,2:14.44,4,10.43,2:14.67
6,12.74,2:33.396,7,12.62,2:35.715,1,10.19,2:23.639,2,10.58,2:24.450,5,11.54,2:28.050,3,10.79,2:25.215,4,10.71,2:25.359
