Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,Tania VICENT POSITION,Tania VICENT LAP TIME,Tania VICENT ELAPSED TIME
2,13.91,13.91,1,13.87,13.87,3,14.03,14.03,4,14.12,14.12
1,10.24,24.15,2,10.39,24.26,4,10.43,24.46,3,10.26,24.38
2,10.56,34.71,3,10.55,34.81,4,10.48,34.94,1,10.24,34.62
2,10.10,44.81,4,10.10,44.91,3,9.95,44.89,1,10.12,44.74
2,10.07,54.88,4,10.19,55.10,3,10.09,54.98,1,10.04,54.78
2,10.15,1:05.03,4,10.13,1:05.23,3,10.15,1:05.13,1,10.17,1:04.95
2,10.20,1:15.23,4,10.20,1:15.43,3,10.17,1:15.30,1,10.21,1:15.16
1,10.16,1:25.39,4,10.24,1:25.67,2,10.13,1:25.43,3,10.38,1:25.54
2,10.34,1:35.729,4,10.54,1:36.206,1,9.87,1:35.300,3,10.40,1:35.939
