Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME
3,10.27,10.27,1,10.15,10.15,4,10.45,10.45,5,10.61,10.61,2,10.17,10.17
3,14.43,24.70,2,14.41,24.56,4,14.42,24.87,5,14.57,25.18,1,14.28,24.45
3,14.14,38.84,2,14.15,38.71,4,14.17,39.04,5,14.11,39.29,1,14.09,38.54
3,13.57,52.41,2,13.57,52.28,4,13.52,52.56,5,13.44,52.73,1,13.63,52.17
3,13.56,1:05.97,2,13.57,1:05.85,4,13.52,1:06.08,5,13.59,1:06.32,1,13.56,1:05.73
2,12.14,1:18.11,1,12.15,1:18.00,4,12.27,1:18.35,5,12.20,1:18.52,3,12.58,1:18.31
2,10.78,1:28.89,1,10.81,1:28.81,4,10.74,1:29.09,5,10.67,1:29.19,3,10.67,1:28.98
2,10.97,1:39.86,1,10.93,1:39.74,4,11.01,1:40.10,5,11.03,1:40.22,3,11.02,1:40.00
2,10.60,1:50.46,1,10.61,1:50.35,4,10.56,1:50.66,5,10.52,1:50.74,3,10.56,1:50.56
2,10.10,2:00.56,1,10.14,2:00.49,4,10.06,2:00.72,3,9.96,2:00.70,5,10.24,2:00.80
2,9.65,2:10.21,1,9.62,2:10.11,4,9.80,2:10.52,3,9.65,2:10.35,5,10.06,2:10.86
2,9.52,2:19.73,1,9.53,2:19.64,4,9.49,2:20.01,3,9.39,2:19.74,5,10.21,2:21.07
2,9.75,2:29.48,1,9.65,2:29.29,4,9.74,2:29.75,3,9.87,2:29.61,5,10.78,2:31.85
2,9.67,2:39.144,1,9.74,2:39.030,4,9.84,2:39.586,3,9.59,2:39.197,5,11.52,2:43.361
