MO Ming-Jui POSITION,MO Ming-Jui LAP TIME,MO Ming-Jui ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,CHARPENTIER Xavier POSITION,CHARPENTIER Xavier LAP TIME,CHARPENTIER Xavier ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME
2,12.514,12.514,1,12.434,12.434,4,13.164,13.164,3,12.799,12.799
2,9.991,22.504,3,10.193,22.627,4,9.665,22.828,1,9.468,22.267
2,9.761,32.264,3,9.656,32.282,4,9.759,32.587,1,9.979,32.246
3,10.438,42.702,1,9.737,42.019,4,10.300,42.887,2,10.275,42.520
4,10.417,53.118,1,10.076,52.095,2,9.700,52.586,3,10.165,52.684
2,9.112,1:02.229,1,10.121,1:02.215,4,9.920,1:02.506,3,9.588,1:02.271
2,9.824,1:12.053,3,9.876,1:12.091,4,9.679,1:12.184,1,9.651,1:11.922
2,9.533,1:21.585,1,9.017,1:21.108,4,9.988,1:22.172,3,10.071,1:21.993
2,13.53,1:35.114,1,11.28,1:32.379,3,26.78,1:48.947,0,,DQ
