Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Marc-Andre MONETTE POSITION,Marc-Andre MONETTE LAP TIME,Marc-Andre MONETTE ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Arno JASPERS POSITION,Arno JASPERS LAP TIME,Arno JASPERS ELAPSED TIME
4,9.850,9.850,3,9.660,9.660,6,10.190,10.190,2,9.510,9.510,5,9.980,9.980,1,9.500,9.500
0,,,2,13.200,22.870,5,13.160,23.360,4,13.820,23.330,3,13.090,23.080,1,13.250,22.760
3,0.000,35.770,2,12.700,35.580,5,12.710,36.070,6,12.750,36.080,4,12.820,35.900,1,12.580,35.350
3,11.980,47.750,2,12.170,47.750,6,12.140,48.210,5,11.990,48.080,4,12.130,48.030,1,12.380,47.730
2,11.670,59.430,3,11.690,59.440,6,11.760,59.970,4,11.630,59.710,5,11.700,59.730,1,11.670,59.410
1,10.300,1:09.730,2,10.330,1:09.780,6,10.120,1:10.100,3,10.110,1:09.820,5,10.250,1:09.980,4,10.440,1:09.850
1,9.740,1:19.480,5,9.930,1:19.720,6,9.760,1:19.860,3,9.760,1:19.580,2,9.580,1:19.570,4,9.790,1:19.640
1,9.730,1:29.210,5,9.780,1:29.500,6,9.800,1:29.660,3,9.900,1:29.480,2,9.790,1:29.370,4,9.850,1:29.500
2,9.570,1:38.780,5,9.590,1:39.100,3,9.290,1:38.960,1,9.040,1:38.530,4,9.610,1:38.990,6,9.980,1:39.480
2,9.500,1:48.280,5,9.400,1:48.500,3,9.340,1:48.300,1,9.710,1:48.250,4,9.380,1:48.370,6,9.710,1:49.190
1,9.440,1:57.730,5,9.530,1:58.040,3,9.530,1:57.830,2,9.530,1:57.780,4,9.610,1:57.990,6,10.160,1:59.360
1,9.700,2:07.430,5,9.740,2:07.780,3,9.680,2:07.520,2,9.680,2:07.460,4,9.780,2:07.770,6,10.510,2:09.870
6,19.790,2:27.230,3,9.740,2:17.530,2,9.630,2:17.160,1,9.490,2:16.950,4,9.760,2:17.530,5,10.940,2:20.820
6,10.170,2:37.410,3,9.790,2:27.330,2,9.710,2:26.870,1,9.080,2:26.030,4,9.970,2:27.510,5,11.360,2:32.180
