Artem KOZLOV POSITION,Artem KOZLOV LAP TIME,Artem KOZLOV ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,CHEN Guang POSITION,CHEN Guang LAP TIME,CHEN Guang ELAPSED TIME,Alexander FATHOULLIN POSITION,Alexander FATHOULLIN LAP TIME,Alexander FATHOULLIN ELAPSED TIME
1,6.77,6.77,2,6.98,6.98,3,7.08,,4,7.28,7.28
1,8.77,15.54,2,8.64,15.62,3,8.68,,4,8.65,15.93
1,8.32,23.86,2,8.31,23.93,3,8.20,,4,8.16,24.09
2,9.05,32.91,4,9.14,33.07,3,9.07,,1,8.41,32.50
2,9.05,41.969,3,9.48,42.556,3,9.17,,1,8.82,41.323
