ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,LIM Hyo Jun POSITION,LIM Hyo Jun LAP TIME,LIM Hyo Jun ELAPSED TIME,EMONS Friso POSITION,EMONS Friso LAP TIME,EMONS Friso ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Shun SAITO POSITION,Shun SAITO LAP TIME,Shun SAITO ELAPSED TIME
5,9.56,9.56,2,9.14,9.14,3,9.26,9.26,4,9.41,9.41,1,8.83,8.83
5,11.75,21.31,2,11.82,20.96,3,11.82,21.08,4,11.79,21.20,1,11.92,20.75
5,11.26,32.57,2,11.31,32.27,3,11.29,32.37,4,11.27,32.47,1,11.37,32.12
5,11.24,43.81,2,11.21,43.48,3,11.22,43.59,4,11.24,43.71,1,11.22,43.34
5,10.97,54.78,2,10.97,54.45,3,10.97,54.56,4,10.97,54.68,1,10.99,54.33
5,10.81,1:05.59,3,10.87,1:05.32,2,10.70,1:05.26,4,10.80,1:05.48,1,10.88,1:05.21
5,10.01,1:15.60,2,10.03,1:15.35,1,10.03,1:15.29,4,10.04,1:15.52,3,10.17,1:15.38
5,9.78,1:25.38,1,9.69,1:25.04,3,9.86,1:25.15,4,9.76,1:25.28,2,9.75,1:25.13
5,9.80,1:35.18,1,9.82,1:34.86,3,9.88,1:35.03,4,9.83,1:35.11,2,9.81,1:34.94
5,9.66,1:44.84,1,9.61,1:44.47,3,9.56,1:44.59,4,9.64,1:44.75,2,9.63,1:44.57
3,9.15,1:53.99,1,9.35,1:53.82,4,9.41,1:54.00,5,9.46,1:54.21,2,9.32,1:53.89
4,9.41,2:03.40,1,9.33,2:03.15,5,9.49,2:03.49,3,9.16,2:03.37,2,9.37,2:03.26
5,9.44,2:12.84,1,9.13,2:12.28,4,9.18,2:12.67,2,9.07,2:12.44,3,9.30,2:12.56
5,10.04,2:22.88,1,8.90,2:21.18,4,9.04,2:21.71,2,8.98,2:21.42,3,9.01,2:21.57
