Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,WANG Yuxiao POSITION,WANG Yuxiao LAP TIME,WANG Yuxiao ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,LEE Seung-Hoon POSITION,LEE Seung-Hoon LAP TIME,LEE Seung-Hoon ELAPSED TIME,FRANK Nick POSITION,FRANK Nick LAP TIME,FRANK Nick ELAPSED TIME
0,20.918,20.918,0,21.632,21.632,0,21.223,21.223,0,20.859,20.859,0,21.298,21.298,0,21.909,21.909,0,21.486,21.486
0,18.374,39.292,0,18.029,39.661,0,16.587,37.811,0,18.052,38.911,0,18.306,39.605,0,17.957,39.866,0,38.714,1:00.200
0,10.357,49.650,0,10.826,50.486,0,9.096,46.907,0,10.570,49.481,0,10.760,50.364,0,20.344,1:00.210,0,,
0,9.615,59.264,0,9.585,1:00.072,0,10.436,57.343,0,10.005,59.486,0,9.668,1:00.032,0,,,0,,
0,11.335,1:10.600,0,10.084,1:10.156,0,12.238,1:09.581,0,9.985,1:09.471,0,10.100,1:10.132,0,,1:10.489,0,,1:10.357
0,8.411,1:19.011,0,10.540,1:20.696,0,10.657,1:20.238,0,10.688,1:20.159,0,10.946,1:21.077,0,10.402,1:20.891,0,10.505,1:20.862
0,10.733,1:29.744,0,11.808,1:32.504,0,11.869,1:32.106,0,12.011,1:32.170,0,11.540,1:32.618,0,11.915,1:32.806,0,11.815,1:32.677
0,10.879,1:40.623,0,12.491,1:44.996,0,13.282,1:45.388,0,12.950,1:45.119,0,12.627,1:45.245,0,12.921,1:45.727,0,12.521,1:45.198
0,11.234,1:51.857,0,13.162,1:58.157,0,12.555,1:57.943,0,13.226,1:58.345,0,12.610,1:57.855,0,12.875,1:58.602,0,,
0,6.146,1:58.003,0,13.363,2:11.520,0,13.272,2:11.215,0,13.246,2:11.591,0,14.087,2:11.941,0,14.284,2:12.886,0,,
0,7.676,2:05.679,0,13.186,2:24.706,0,13.142,2:24.357,0,13.451,2:25.042,0,13.155,2:25.096,0,,,0,,
0,9.033,2:14.712,0,10.765,2:35.471,0,10.984,2:35.340,0,11.039,2:36.081,0,10.963,2:36.059,0,,2:40.618,0,,2:46.408
0,22.021,2:36.733,0,10.902,2:46.373,0,10.892,2:46.233,0,10.189,2:46.271,0,11.261,2:47.321,0,6.622,2:47.241,0,10.914,2:57.322
0,11.172,2:47.905,0,11.233,2:57.605,0,11.158,2:57.391,0,11.634,2:57.904,0,10.740,2:58.060,0,10.953,2:58.193,0,,
0,10.776,2:58.681,0,12.453,3:10.058,0,12.905,3:10.296,0,12.656,3:10.560,0,12.275,3:10.335,0,12.458,3:10.651,0,,3:09.942
0,12.337,3:11.017,0,12.521,3:22.579,0,12.502,3:22.798,0,12.409,3:22.969,0,12.702,3:23.038,0,12.077,3:22.728,0,12.962,3:22.903
0,12.534,3:23.551,0,13.469,3:36.048,0,12.616,3:35.414,0,12.655,3:35.624,0,12.441,3:35.479,0,13.397,3:36.126,0,12.984,3:35.887
0,12.660,3:36.211,0,11.416,3:47.464,0,11.917,3:47.331,0,12.156,3:47.780,0,12.165,3:47.644,0,11.990,3:48.116,0,12.050,3:47.937
0,11.997,3:48.209,0,10.458,3:57.923,0,10.494,3:57.825,0,10.548,3:58.328,0,10.662,3:58.306,0,10.350,3:58.465,0,11.090,3:59.027
0,11.055,3:59.264,0,10.157,4:08.079,0,10.111,4:07.936,0,9.994,4:08.321,0,10.118,4:08.424,0,10.058,4:08.523,0,9.815,4:08.843
0,10.905,4:10.169,0,9.830,4:17.909,0,9.812,4:17.748,0,9.797,4:18.118,0,10.386,4:18.810,0,9.766,4:18.289,0,10.777,4:19.620
0,11.208,4:21.377,0,9.731,4:27.640,0,9.876,4:27.624,0,9.809,4:27.927,0,10.892,4:29.703,0,9.671,4:27.960,0,11.429,4:31.049
0,11.427,4:32.804,0,9.814,4:37.454,0,9.724,4:37.348,0,9.284,4:37.211,0,11.644,4:41.347,0,9.163,4:37.123,0,12.190,4:43.238
0,11.572,4:44.376,0,9.820,4:47.274,0,9.851,4:47.198,0,10.192,4:47.404,0,11.917,4:53.264,0,9.408,4:46.531,0,12.701,4:55.939
0,11.827,4:56.204,0,10.400,4:57.674,0,10.179,4:57.377,0,10.313,4:57.717,0,12.680,5:05.943,0,9.167,4:55.699,0,13.127,5:09.066
0,11.364,5:07.568,0,10.747,5:08.421,0,10.123,5:07.500,0,9.786,5:07.502,0,13.534,5:19.477,0,10.946,5:06.645,0,11.186,5:20.251
0,,,0,,,0,,,0,,,0,,,0,,,0,,
