Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Artem KHMELIVSKYI POSITION,Artem KHMELIVSKYI LAP TIME,Artem KHMELIVSKYI ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME
3,9.50,9.50,2,9.23,9.23,5,9.81,9.81,1,8.33,8.33,4,9.64,9.64,6,10.04,10.04
4,11.90,21.40,2,12.08,21.31,5,11.61,21.42,1,11.03,19.36,3,11.70,21.34,6,11.54,21.58
6,10.32,31.72,5,10.36,31.67,3,10.07,31.49,1,10.59,29.95,2,10.05,31.39,4,9.99,31.57
6,9.95,41.67,5,9.81,41.48,3,9.81,41.30,1,10.45,40.40,2,9.81,41.20,4,9.81,41.38
6,9.84,51.51,5,9.93,51.41,3,9.97,51.27,1,10.57,50.97,2,9.98,51.18,4,9.95,51.33
6,10.46,1:01.97,5,10.48,1:01.89,3,10.51,1:01.78,1,10.65,1:01.62,2,10.52,1:01.70,4,10.55,1:01.88
5,10.38,1:12.35,6,10.51,1:12.40,3,10.51,1:12.29,1,10.52,1:12.14,2,10.49,1:12.19,4,10.45,1:12.33
4,10.15,1:22.50,5,10.17,1:22.57,6,10.38,1:22.67,3,10.26,1:22.40,1,9.92,1:22.11,2,9.99,1:22.32
3,9.52,1:32.02,5,9.76,1:32.33,4,9.51,1:32.18,6,10.07,1:32.47,1,9.74,1:31.85,2,9.62,1:31.94
4,9.71,1:41.73,5,9.54,1:41.87,3,9.49,1:41.67,6,10.02,1:42.49,1,9.61,1:41.46,2,9.63,1:41.57
4,9.52,1:51.25,5,9.65,1:51.52,3,9.48,1:51.15,6,10.33,1:52.82,1,9.43,1:50.89,2,9.47,1:51.04
4,9.55,2:00.80,5,9.55,2:01.07,3,9.56,2:00.71,6,10.75,2:03.57,1,9.61,2:00.50,2,9.57,2:00.61
4,9.78,2:10.58,5,9.76,2:10.83,3,9.83,2:10.54,6,11.19,2:14.76,1,9.81,2:10.31,2,9.83,2:10.44
0,,PEN,4,10.06,2:20.886,3,9.90,2:20.440,5,11.39,2:26.144,1,9.90,2:20.205,2,9.92,2:20.351
