NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
1,13.55,13.55,3,13.60,13.60,4,13.80,13.80,2,13.59,13.59
3,10.19,23.74,2,10.04,23.64,4,10.06,23.86,1,9.98,23.57
4,10.03,33.77,2,9.90,33.54,3,9.78,33.64,1,9.88,33.45
4,9.85,43.62,1,9.67,43.21,3,9.79,43.43,2,9.82,43.27
4,9.14,52.76,1,9.17,52.38,3,9.17,52.60,2,9.20,52.47
4,9.03,1:01.79,1,9.06,1:01.44,2,8.95,1:01.55,3,9.16,1:01.63
4,9.10,1:10.89,1,9.07,1:10.51,2,9.05,1:10.60,3,9.06,1:10.69
4,9.29,1:20.18,2,9.23,1:19.74,1,8.98,1:19.58,3,9.12,1:19.81
3,9.78,1:29.954,4,57.36,2:17.094,1,9.25,1:28.824,2,9.47,1:29.277
