Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME,Liam McFARLANE POSITION,Liam McFARLANE LAP TIME,Liam McFARLANE ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME
2,6.94,6.94,1,6.78,6.78,3,7.08,7.08,4,7.29,7.29
2,8.91,15.85,1,8.90,15.68,3,8.88,15.96,4,9.04,16.33
4,24.96,40.81,1,8.52,24.20,2,8.74,24.70,3,8.86,25.19
4,21.76,1:02.57,1,8.84,33.04,2,9.04,33.74,3,8.90,34.09
4,15.63,1:18.193,1,9.15,42.183,2,9.02,42.753,3,8.78,42.868
