Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME
1,7.87,7.87,2,7.92,7.92
1,10.20,18.07,2,10.24,18.17
1,8.75,26.82,2,8.71,26.88
2,8.57,35.40,1,8.46,35.34
0,,DQ,1,8.96,44.297
