Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Pavel RYBAKOV POSITION,Pavel RYBAKOV LAP TIME,Pavel RYBAKOV ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME
2,13.72,13.72,1,13.48,13.48,3,13.77,13.77,5,13.86,13.86,4,13.81,13.81
4,10.49,24.21,3,10.42,23.90,5,10.54,24.31,2,10.04,23.90,1,9.95,23.76
4,9.18,33.39,3,9.34,33.24,5,9.18,33.49,1,9.10,33.00,2,9.38,33.14
4,9.02,42.41,3,9.16,42.40,5,9.11,42.60,1,9.15,42.15,2,9.14,42.28
2,8.78,51.19,4,9.05,51.45,5,9.00,51.60,1,8.91,51.06,3,9.06,51.34
2,8.78,59.97,4,8.94,1:00.39,5,9.10,1:00.70,1,8.76,59.82,3,8.97,1:00.31
2,8.88,1:08.85,3,9.03,1:09.42,5,9.34,1:10.04,1,8.81,1:08.63,4,9.22,1:09.53
2,9.03,1:17.88,3,9.32,1:18.74,5,9.83,1:19.87,1,8.81,1:17.44,4,9.70,1:19.23
2,9.40,1:27.273,3,9.72,1:28.459,5,10.04,1:29.904,1,9.19,1:26.626,4,10.62,1:29.841
