Mikhail RAJINE POSITION,Mikhail RAJINE LAP TIME,Mikhail RAJINE ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME
1,13.088,13.088,2,13.217,13.217,3,13.565,13.565,4,13.603,13.603
1,9.804,22.892,2,9.913,23.129,4,9.804,23.368,3,9.735,23.338
1,9.882,32.773,2,9.713,32.842,3,9.742,33.110,4,9.835,33.172
1,9.924,42.697,2,9.908,42.750,3,9.898,43.007,4,9.901,43.072
1,9.774,52.471,2,9.849,52.598,4,10.028,53.035,3,9.911,52.983
2,10.222,1:02.692,3,10.127,1:02.725,4,9.832,1:02.866,1,9.676,1:02.659
4,10.006,1:12.698,3,9.691,1:12.415,2,9.323,1:12.189,1,9.146,1:11.804
4,10.081,1:22.778,3,9.661,1:22.075,2,9.193,1:21.381,1,9.345,1:21.148
4,10.46,1:33.238,3,9.79,1:31.862,1,9.18,1:30.552,2,9.65,1:30.792
