Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME,Michael KOCH POSITION,Michael KOCH LAP TIME,Michael KOCH ELAPSED TIME,Bulat VALIULLIN POSITION,Bulat VALIULLIN LAP TIME,Bulat VALIULLIN ELAPSED TIME,Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME
1,13.701,13.701,5,13.945,13.945,3,13.827,13.827,4,13.829,13.829,2,13.812,13.812
3,10.112,23.812,5,10.282,24.227,4,10.303,24.130,1,9.820,23.648,2,9.920,23.731
4,10.027,33.839,5,9.731,33.957,1,9.510,33.640,2,10.019,33.667,3,9.995,33.726
3,9.565,43.404,5,9.979,43.936,1,9.408,43.048,4,9.789,43.456,2,9.567,43.293
4,9.437,52.840,5,9.250,53.186,2,9.508,52.555,1,9.060,52.516,3,9.480,52.772
4,9.627,1:02.466,5,9.788,1:02.973,2,9.635,1:02.189,1,9.534,1:02.049,3,9.600,1:02.372
4,9.487,1:11.953,5,9.541,1:12.513,1,9.390,1:11.579,3,9.815,1:11.863,2,9.483,1:11.854
3,9.506,1:21.458,5,10.145,1:22.658,1,9.497,1:21.075,4,9.658,1:21.521,2,9.505,1:21.358
3,10.03,1:31.486,5,10.81,1:33.461,2,9.95,1:31.019,4,10.17,1:31.691,1,9.63,1:30.985
