TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME
1,7.02,,2,7.19,7.19,3,7.31,7.31,4,7.40,7.40
1,9.21,,2,9.18,16.37,3,9.14,16.45,4,9.14,16.54
1,8.66,,3,8.83,25.20,2,8.60,25.05,4,8.78,25.32
1,8.72,,3,8.62,33.82,2,8.57,33.62,4,8.63,33.95
4,10.73,,1,9.02,42.822,3,9.40,43.000,2,9.00,42.931
