Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME
2,9.441,9.441,5,9.951,9.951,1,9.129,9.129,6,9.953,9.953,4,9.726,9.726,3,9.693,9.693
3,12.873,22.314,4,12.384,22.334,1,12.809,21.937,6,12.713,22.666,2,12.386,22.112,5,12.782,22.474
6,11.169,33.482,5,11.005,33.339,3,11.262,33.199,2,10.441,33.106,1,10.980,33.091,4,10.851,33.325
6,10.673,44.154,5,10.686,44.024,4,10.601,43.799,3,10.683,43.789,2,10.277,43.367,1,10.002,43.326
6,9.927,54.081,5,9.911,53.935,3,10.077,53.876,4,10.127,53.915,1,10.148,53.515,2,10.270,53.596
6,10.444,1:04.525,5,10.503,1:04.437,4,10.398,1:04.274,3,10.357,1:04.272,2,10.459,1:03.974,1,10.370,1:03.965
5,10.334,1:14.858,6,10.477,1:14.914,3,10.398,1:14.671,4,10.463,1:14.734,1,10.459,1:14.432,2,10.509,1:14.474
5,10.333,1:25.191,6,10.418,1:25.331,4,10.327,1:24.998,3,10.231,1:24.964,1,10.142,1:24.574,2,10.244,1:24.717
5,9.890,1:35.080,6,9.802,1:35.132,3,9.885,1:34.883,4,10.029,1:34.993,1,9.991,1:34.565,2,10.089,1:34.805
5,9.728,1:44.808,6,9.777,1:44.909,2,9.636,1:44.518,4,9.770,1:44.763,1,9.837,1:44.401,3,9.870,1:44.675
4,9.415,1:54.223,6,9.642,1:54.551,1,9.119,1:53.637,3,9.111,1:53.873,2,9.368,1:53.769,5,9.637,1:54.312
4,9.405,2:03.628,6,9.569,2:04.120,1,9.427,2:03.064,3,9.444,2:03.317,2,9.490,2:03.259,5,9.493,2:03.805
5,9.793,2:13.420,6,9.699,2:13.818,1,9.288,2:12.351,3,9.127,2:12.444,2,9.121,2:12.379,4,9.588,2:13.392
5,10.30,2:23.718,6,10.19,2:24.006,2,9.48,2:21.832,1,9.15,2:21.591,3,10.10,2:22.471,4,9.93,2:23.322
