Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Denis BELLOTTI POSITION,Denis BELLOTTI LAP TIME,Denis BELLOTTI ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME
0,20.238,20.238,0,8.918,8.918,0,8.573,8.573,0,9.224,9.224,0,20.221,20.221
0,,,0,11.398,20.316,0,11.463,20.036,0,11.382,20.606,0,,
0,,31.396,0,10.947,31.263,0,11.168,31.204,0,10.754,31.361,0,,31.129
0,10.352,41.747,0,10.361,41.624,0,10.295,41.499,0,10.480,41.841,0,10.066,41.195
0,9.869,51.617,0,9.673,51.296,0,9.950,51.449,0,9.695,51.536,0,10.143,51.338
0,10.056,1:01.672,0,9.921,1:01.217,0,10.028,1:01.477,0,9.832,1:01.368,0,9.901,1:01.239
0,9.921,1:11.594,0,10.034,1:11.251,0,10.262,1:11.739,0,9.990,1:11.358,0,10.199,1:11.438
0,10.123,1:21.716,0,10.218,1:21.469,0,10.268,1:22.007,0,10.322,1:21.680,0,9.969,1:21.407
0,9.837,1:31.554,0,9.869,1:31.338,0,9.936,1:31.943,0,9.916,1:31.596,0,9.848,1:31.255
0,9.703,1:41.257,0,9.735,1:41.074,0,9.944,1:41.886,0,9.620,1:41.215,0,9.671,1:40.926
0,9.599,1:50.855,0,9.502,1:50.576,0,10.407,1:52.293,0,9.543,1:50.758,0,9.732,1:50.658
0,9.526,2:00.381,0,9.515,2:00.091,0,10.959,2:03.252,0,10.016,2:00.774,0,9.993,2:00.651
0,9.657,2:10.038,0,9.667,2:09.759,0,11.396,2:14.648,0,9.840,2:10.614,0,10.140,2:10.791
0,,,0,,,0,,,0,,,0,,
