SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,GAGNON Claudia POSITION,GAGNON Claudia LAP TIME,GAGNON Claudia ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,WANG Xiran POSITION,WANG Xiran LAP TIME,WANG Xiran ELAPSED TIME,Assel TAISHMANOVA POSITION,Assel TAISHMANOVA LAP TIME,Assel TAISHMANOVA ELAPSED TIME
2,14.02,14.02,4,14.22,,3,14.14,14.14,1,13.96,13.96,5,14.45,14.45
2,10.67,24.69,4,10.70,,3,10.71,24.85,1,10.57,24.53,5,10.65,25.10
3,10.68,35.37,2,10.41,,4,10.68,35.53,1,10.75,35.28,5,10.57,35.67
2,10.11,45.48,4,10.32,,3,10.05,45.58,1,10.11,45.39,4,9.98,45.65
2,10.20,55.68,4,10.20,,3,10.11,55.69,1,10.17,55.56,5,10.24,55.89
1,9.80,1:05.48,5,10.01,,2,9.89,1:05.58,3,10.19,1:05.75,4,9.94,1:05.83
1,9.57,1:15.05,5,36.60,,2,9.63,1:15.21,3,9.76,1:15.51,4,9.87,1:15.70
1,9.67,1:24.72,5,14.06,,2,9.62,1:24.83,3,9.82,1:25.33,4,9.94,1:25.64
1,9.77,1:34.49,5,13.24,2:09.76,2,9.76,1:34.59,3,10.34,1:35.67,4,10.23,1:35.87
