Kalyna ROBERGE POSITION,Kalyna ROBERGE LAP TIME,Kalyna ROBERGE ELAPSED TIME,YAO Yao POSITION,YAO Yao LAP TIME,YAO Yao ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Elena PRIBYSH POSITION,Elena PRIBYSH LAP TIME,Elena PRIBYSH ELAPSED TIME
3,7.729,7.729,1,7.453,7.453,4,7.757,7.757,2,7.612,7.612
2,9.804,17.533,1,9.782,17.234,3,9.948,17.704,4,10.486,18.098
2,9.764,27.296,1,9.980,27.214,3,9.621,27.325,4,9.984,28.081
2,9.753,37.049,1,9.771,36.985,3,9.899,37.223,4,10.222,38.302
1,9.74,46.787,2,10.19,47.173,3,10.02,47.240,4,10.42,48.715
