Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,LIM Hyo Jun POSITION,LIM Hyo Jun LAP TIME,LIM Hyo Jun ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME
1,8.28,8.28,2,8.45,8.45,4,8.68,,5,8.81,8.81,7,8.99,8.99,3,8.55,8.55,8,9.08,9.08,5,8.81,8.81
3,10.79,19.07,4,10.78,19.23,5,10.68,,6,10.67,19.48,7,10.61,19.60,2,10.46,19.01,8,10.63,19.71,1,10.17,18.98
2,9.93,29.00,4,9.99,29.22,5,9.96,,6,9.98,29.46,7,9.97,29.57,3,10.06,29.07,8,9.96,29.67,1,10.00,28.98
1,9.61,38.61,4,9.73,38.95,5,9.72,,6,9.67,39.13,7,9.66,39.23,3,9.76,38.83,8,9.61,39.28,2,9.77,38.75
1,9.86,48.47,5,9.85,48.80,7,9.89,,6,9.75,48.88,8,9.81,49.04,3,9.85,48.68,4,9.47,48.75,2,9.85,48.60
3,9.71,58.18,6,9.57,58.37,8,9.64,,7,9.62,58.50,5,9.30,58.34,1,9.37,58.05,4,9.53,58.28,1,9.45,58.05
4,9.52,1:07.70,6,9.53,1:07.90,8,9.50,,7,9.47,1:07.97,5,9.46,1:07.80,1,9.37,1:07.42,3,9.32,1:07.60,2,9.43,1:07.48
2,9.31,1:17.01,6,9.47,1:17.37,8,9.47,,7,9.47,1:17.44,5,9.46,1:17.26,1,9.53,1:16.95,4,9.55,1:17.15,3,9.58,1:17.06
2,9.30,1:26.31,6,9.34,1:26.71,8,9.37,,7,9.40,1:26.84,4,9.27,1:26.53,1,9.29,1:26.24,3,9.28,1:26.43,5,9.48,1:26.54
2,9.30,1:35.61,6,9.34,1:36.05,7,9.19,,8,9.32,1:36.16,4,9.30,1:35.83,1,9.30,1:35.54,3,9.30,1:35.73,5,9.41,1:35.95
2,9.17,1:44.78,8,10.02,1:46.07,6,9.23,,7,9.35,1:45.51,4,9.21,1:45.04,1,9.16,1:44.70,3,9.18,1:44.91,5,9.31,1:45.26
1,9.06,1:53.84,8,9.69,1:55.76,5,9.00,,7,9.13,1:54.64,4,9.06,1:54.10,2,9.16,1:53.86,3,9.07,1:53.98,6,9.22,1:54.48
1,9.11,2:02.95,8,10.05,2:05.81,5,8.98,,7,9.53,2:04.17,4,9.05,2:03.15,3,9.19,2:03.05,2,9.03,2:03.01,6,9.35,2:03.83
2,9.28,2:12.23,7,10.97,2:16.781,3,9.10,,6,10.54,2:14.718,5,9.38,2:12.53,4,9.38,2:12.43,1,8.91,2:11.92,5,9.83,2:13.663
