GAGNON Claudia POSITION,GAGNON Claudia LAP TIME,GAGNON Claudia ELAPSED TIME,MYKHALCHUK Diana POSITION,MYKHALCHUK Diana LAP TIME,MYKHALCHUK Diana ELAPSED TIME,LI Jinyu POSITION,LI Jinyu LAP TIME,LI Jinyu ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME
1,9.78,9.78,3,9.93,9.93,4,10.10,10.10,2,9.90,9.90,5,10.25,10.25,6,10.43,10.43
1,12.69,22.47,3,12.79,22.72,4,12.74,22.84,2,12.70,22.60,5,12.74,22.99,6,12.64,23.07
1,11.81,34.28,3,11.81,34.53,4,11.82,34.66,2,11.81,34.41,5,11.80,34.79,6,11.84,34.91
2,11.31,45.59,4,11.19,45.72,5,11.15,45.81,3,11.25,45.66,6,11.17,45.96,1,10.63,45.54
2,10.72,56.31,4,10.87,56.59,5,10.79,56.60,3,10.82,56.48,6,10.75,56.71,1,10.64,56.18
3,10.51,1:06.82,6,10.63,1:07.22,2,10.12,1:06.72,1,10.17,1:06.65,5,10.16,1:06.87,4,10.68,1:06.86
4,9.96,1:16.78,6,10.05,1:17.27,1,9.88,1:16.60,3,10.02,1:16.67,2,9.78,1:16.65,5,10.02,1:16.88
4,10.61,1:27.39,6,10.21,1:27.48,1,10.45,1:27.05,3,10.63,1:27.30,2,10.54,1:27.19,5,10.59,1:27.47
3,10.41,1:37.80,5,10.66,1:38.14,1,10.58,1:37.63,4,10.52,1:37.82,2,10.51,1:37.70,6,10.68,1:38.15
5,10.39,1:48.19,6,10.67,1:48.81,1,10.29,1:47.92,4,10.26,1:48.08,2,10.23,1:47.93,3,9.88,1:48.03
5,9.86,1:58.05,6,10.87,1:59.68,4,9.97,1:57.89,3,9.80,1:57.88,1,9.88,1:57.81,2,9.82,1:57.85
5,9.94,2:07.99,6,11.08,2:10.76,4,9.91,2:07.80,3,9.88,2:07.76,1,9.74,2:07.55,2,9.82,2:07.67
5,9.96,2:17.95,6,11.27,2:22.03,2,9.75,2:17.55,4,10.08,2:17.84,1,9.88,2:17.43,3,9.93,2:17.60
5,10.43,2:28.38,6,11.57,2:33.60,2,9.88,2:27.43,4,10.03,2:27.87,1,9.89,2:27.32,3,10.03,2:27.63
