Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME
1,6.78,6.78,2,6.93,6.93,3,7.06,7.06,4,7.16,7.16
1,9.06,15.84,2,9.07,16.00,3,9.03,16.09,4,9.08,16.24
1,8.44,24.28,2,8.36,24.36,3,8.27,24.36,4,8.28,24.52
2,8.56,32.84,3,8.60,32.96,1,8.38,32.74,4,8.50,33.02
3,8.73,41.570,2,8.61,41.561,1,8.69,41.429,4,8.93,41.950
