Marco Fritz SCHUMANN POSITION,Marco Fritz SCHUMANN LAP TIME,Marco Fritz SCHUMANN ELAPSED TIME,LUEDTKE Adrian POSITION,LUEDTKE Adrian LAP TIME,LUEDTKE Adrian ELAPSED TIME,NEMIRO Nikita POSITION,NEMIRO Nikita LAP TIME,NEMIRO Nikita ELAPSED TIME,Artsem ALIATDZINAU POSITION,Artsem ALIATDZINAU LAP TIME,Artsem ALIATDZINAU ELAPSED TIME,VOLCKAERT Robbe POSITION,VOLCKAERT Robbe LAP TIME,VOLCKAERT Robbe ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME
5,11.15,11.15,1,10.75,10.75,6,11.31,11.31,4,10.95,10.95,3,10.92,10.92,2,10.91,10.91
5,17.07,28.22,1,16.91,27.66,6,17.18,28.49,3,16.86,27.81,4,17.13,28.05,2,16.81,27.72
5,14.08,42.30,4,14.44,42.10,6,13.97,42.46,2,13.95,41.76,1,13.61,41.66,3,14.23,41.95
5,12.56,54.86,1,12.23,54.33,6,12.57,55.03,3,12.79,54.55,2,12.79,54.45,4,12.76,54.71
2,11.24,1:06.10,1,11.73,1:06.06,5,11.32,1:06.35,6,11.82,1:06.37,3,11.72,1:06.17,4,11.56,1:06.27
1,10.19,1:16.29,3,10.41,1:16.47,2,10.07,1:16.42,6,10.42,1:16.79,4,10.43,1:16.60,5,10.44,1:16.71
1,9.89,1:26.18,2,9.83,1:26.30,3,9.93,1:26.35,6,9.93,1:26.72,4,9.86,1:26.46,5,9.85,1:26.56
1,9.93,1:36.11,2,9.93,1:36.23,5,10.18,1:36.53,6,9.95,1:36.67,3,9.89,1:36.35,4,9.96,1:36.52
1,9.89,1:46.00,2,9.86,1:46.09,5,9.92,1:46.45,6,9.89,1:46.56,3,9.82,1:46.17,4,9.75,1:46.27
1,9.80,1:55.80,2,9.75,1:55.84,3,9.95,1:56.40,5,9.90,1:56.46,6,14.38,2:00.55,4,10.14,1:56.41
2,9.72,2:05.52,1,9.28,2:05.12,4,10.92,2:07.32,3,9.99,2:06.45,6,18.09,2:18.64,5,17.17,2:13.58
2,9.74,2:15.26,1,9.37,2:14.49,4,10.62,2:17.94,3,10.37,2:16.82,6,13.51,2:32.15,5,12.74,2:26.32
2,9.96,2:25.22,1,9.60,2:24.09,4,10.81,2:28.75,3,10.69,2:27.51,6,13.19,2:45.34,5,12.65,2:38.97
2,10.26,2:35.451,1,10.10,2:34.170,4,11.23,2:39.948,3,10.97,2:38.448,6,13.51,2:58.814,5,13.25,2:52.191
