Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME
3,14.670,14.670,1,14.615,14.615,4,14.796,14.796,2,14.647,14.647
2,10.382,25.051,1,10.265,24.880,3,10.333,25.129,4,10.628,25.275
2,9.778,34.828,1,9.763,34.642,3,9.755,34.884,4,9.718,34.992
2,9.379,44.206,1,9.484,44.126,3,9.622,44.505,4,9.515,44.506
2,9.482,53.688,1,9.452,53.577,3,9.470,53.974,4,9.517,54.023
2,9.547,1:03.235,1,9.556,1:03.133,3,9.521,1:03.495,4,9.537,1:03.559
1,9.299,1:12.534,2,9.483,1:12.616,3,9.417,1:12.912,4,9.448,1:13.007
1,9.232,1:21.765,2,9.341,1:21.956,3,9.364,1:22.275,4,9.473,1:22.480
1,9.59,1:31.351,2,9.63,1:31.586,3,9.53,1:31.796,4,9.67,1:32.148
