Elizaveta KUZNETSOVA POSITION,Elizaveta KUZNETSOVA LAP TIME,Elizaveta KUZNETSOVA ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,Adela BICANOVA POSITION,Adela BICANOVA LAP TIME,Adela BICANOVA ELAPSED TIME,Eleanora SAMOILAVA POSITION,Eleanora SAMOILAVA LAP TIME,Eleanora SAMOILAVA ELAPSED TIME,VELZEBOER Xandra POSITION,VELZEBOER Xandra LAP TIME,VELZEBOER Xandra ELAPSED TIME
4,14.97,14.97,3,14.85,14.85,5,15.14,15.14,1,14.57,14.57,2,14.68,14.68
4,12.09,27.06,3,12.06,26.91,5,12.05,27.19,1,12.10,26.67,2,12.12,26.80
3,11.25,38.31,4,11.52,38.43,5,11.69,38.88,1,11.41,38.08,2,11.34,38.14
3,10.53,48.84,4,10.54,48.97,5,11.65,50.53,1,10.56,48.64,2,10.59,48.73
3,10.79,59.63,4,10.79,59.76,5,12.58,1:03.11,2,10.85,59.49,1,10.72,59.45
2,10.67,1:10.30,3,10.77,1:10.53,5,13.66,1:16.77,4,11.21,1:10.70,1,10.57,1:10.02
2,10.60,1:20.90,3,10.41,1:20.94,5,15.83,1:32.60,4,12.16,1:22.86,1,10.52,1:20.54
3,11.13,1:32.03,2,10.36,1:31.30,5,15.25,1:47.85,4,13.24,1:36.10,1,10.66,1:31.20
3,11.75,1:43.78,1,10.85,1:42.15,5,14.74,2:02.59,4,14.41,1:50.51,2,11.04,1:42.24
