Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,SOLOMATINA Olga POSITION,SOLOMATINA Olga LAP TIME,SOLOMATINA Olga ELAPSED TIME,Kira FLING POSITION,Kira FLING LAP TIME,Kira FLING ELAPSED TIME,Alanna KRAUS POSITION,Alanna KRAUS LAP TIME,Alanna KRAUS ELAPSED TIME
3,14.078,14.078,4,14.230,14.230,1,13.978,13.978,2,14.055,14.055
4,10.963,25.040,3,10.706,24.935,2,10.779,24.757,1,10.653,24.708
3,10.579,35.619,4,10.697,35.631,2,10.645,35.401,1,10.661,35.368
4,10.773,46.392,3,10.626,46.257,2,10.638,46.039,1,10.523,45.890
4,10.296,56.687,3,10.322,56.579,2,10.354,56.392,1,10.200,56.090
3,10.124,1:06.810,4,10.250,1:06.828,2,10.304,1:06.695,1,10.410,1:06.500
2,10.176,1:16.986,4,10.479,1:17.307,3,10.403,1:17.098,1,10.146,1:16.645
1,9.335,1:26.321,4,10.563,1:27.870,3,10.748,1:27.846,2,9.862,1:26.506
1,10.21,1:36.527,4,11.12,1:38.982,3,11.02,1:38.862,2,10.08,1:36.584
