MARTINIC Ivan POSITION,MARTINIC Ivan LAP TIME,MARTINIC Ivan ELAPSED TIME,Jonathan SO POSITION,Jonathan SO LAP TIME,Jonathan SO ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,YU Songnan POSITION,YU Songnan LAP TIME,YU Songnan ELAPSED TIME
1,6.93,6.93,4,7.26,7.26,2,6.97,6.97,3,7.14,7.14
3,9.36,16.29,4,9.09,16.35,2,9.28,16.25,1,8.90,16.04
3,9.08,25.37,2,8.69,25.04,4,10.12,26.37,1,8.47,24.51
3,9.01,34.38,2,8.69,33.73,4,8.77,35.14,1,8.65,33.16
3,9.27,43.65,2,8.97,42.70,4,8.67,43.81,1,8.88,42.04
