Kadisha BAKHITKEREYEVA POSITION,Kadisha BAKHITKEREYEVA LAP TIME,Kadisha BAKHITKEREYEVA ELAPSED TIME,Holly HOYLAND POSITION,Holly HOYLAND LAP TIME,Holly HOYLAND ELAPSED TIME,IVANDIC Maja POSITION,IVANDIC Maja LAP TIME,IVANDIC Maja ELAPSED TIME,Chloe TAN POSITION,Chloe TAN LAP TIME,Chloe TAN ELAPSED TIME,Stephanie FABIAN POSITION,Stephanie FABIAN LAP TIME,Stephanie FABIAN ELAPSED TIME,Kar Weng SOO POSITION,Kar Weng SOO LAP TIME,Kar Weng SOO ELAPSED TIME
2,13.00,13.00,1,12.91,12.91,5,13.07,13.07,6,13.21,13.21,4,13.06,13.06,3,13.05,13.05
2,17.01,30.01,3,17.23,30.14,4,17.20,30.27,5,17.21,30.42,1,16.80,29.86,6,17.38,30.43
2,14.21,44.22,3,14.19,44.33,5,14.18,44.45,3,13.91,44.33,1,14.21,44.07,6,14.11,44.54
3,13.93,58.15,2,13.69,58.02,5,13.98,58.43,4,13.96,58.29,1,13.86,57.93,6,13.95,58.49
3,14.00,1:12.15,2,14.01,1:12.03,5,13.94,1:12.37,4,13.98,1:12.27,1,13.92,1:11.85,6,13.99,1:12.48
3,13.31,1:25.46,2,13.37,1:25.40,5,13.29,1:25.66,4,13.26,1:25.53,1,13.43,1:25.28,6,13.32,1:25.80
3,12.44,1:37.90,2,12.40,1:37.80,5,12.52,1:38.18,4,12.51,1:38.04,1,12.40,1:37.68,6,12.51,1:38.31
3,12.80,1:50.70,2,12.79,1:50.59,5,12.79,1:50.97,4,12.81,1:50.85,1,12.78,1:50.46,6,12.77,1:51.08
2,12.17,2:02.87,3,12.36,2:02.95,5,12.24,2:03.21,4,12.20,2:03.05,1,12.39,2:02.85,6,12.30,2:03.38
1,10.57,2:13.44,6,23.42,2:26.37,2,10.80,2:14.01,5,22.85,2:25.90,4,23.04,2:25.89,3,10.95,2:14.33
1,10.21,2:23.65,6,12.64,2:39.01,2,10.27,2:24.28,4,11.60,2:37.50,5,11.75,2:37.64,3,10.66,2:24.99
1,10.23,2:33.88,6,11.45,2:50.46,2,10.31,2:34.59,4,10.99,2:48.49,5,10.97,2:48.61,3,11.09,2:36.08
1,10.37,2:44.25,6,11.39,3:01.85,2,10.73,2:45.32,4,10.95,2:59.44,5,11.02,2:59.63,3,11.39,2:47.47
1,10.63,2:54.888,6,11.50,3:13.351,2,11.11,2:56.435,4,11.20,3:10.645,5,11.86,3:11.492,3,11.53,2:59.006
