Ryan BEDFORD POSITION,Ryan BEDFORD LAP TIME,Ryan BEDFORD ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME
1,6.99,6.99,2,7.16,7.16,3,7.28,7.28,4,7.37,7.37
1,9.24,16.23,2,9.16,16.32,3,9.16,16.44,4,9.26,16.63
1,8.76,24.99,2,8.78,25.10,3,8.77,25.21,4,8.81,25.44
2,8.67,33.66,1,8.53,33.63,3,8.57,33.78,4,8.57,34.01
3,9.33,42.983,1,9.09,42.717,2,9.03,42.806,4,8.99,42.997
