John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,Klaudio NASRI POSITION,Klaudio NASRI LAP TIME,Klaudio NASRI ELAPSED TIME
2,16.42,16.42,3,16.57,16.57,1,16.17,16.17,4,16.72,16.72
2,11.37,27.79,3,11.34,27.91,1,11.48,27.65,4,11.32,28.04
1,10.53,38.32,3,10.54,38.45,2,10.68,38.33,4,10.53,38.57
1,9.63,47.95,3,9.73,48.18,2,9.72,48.05,4,9.83,48.40
1,9.24,57.19,3,9.23,57.41,2,9.26,57.31,4,9.34,57.74
1,8.93,1:06.12,3,8.92,1:06.33,2,8.96,1:06.27,4,9.08,1:06.82
1,8.88,1:15.00,2,8.75,1:15.08,3,9.10,1:15.37,4,9.03,1:15.85
2,9.03,1:24.03,1,8.81,1:23.89,3,9.18,1:24.55,4,9.28,1:25.13
2,9.39,1:33.42,1,9.27,1:33.16,3,9.49,1:34.04,4,9.47,1:34.60
