KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME
3,7.59,7.59,2,7.34,7.34,1,7.08,7.08
3,9.07,16.66,2,9.09,16.43,1,9.08,16.16
2,8.64,25.30,3,8.89,25.32,1,8.86,25.02
2,8.47,33.77,3,8.83,34.15,1,8.64,33.66
2,8.86,42.621,3,9.13,43.277,1,8.84,42.494
