Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME
1,13.18,13.18,4,13.53,13.53,3,13.42,13.42,2,13.32,13.32
1,10.85,24.03,4,10.87,24.40,3,10.82,24.24,2,10.82,24.14
3,10.02,34.05,4,9.82,34.22,2,9.79,34.03,1,9.82,33.96
3,10.03,44.08,4,9.97,44.19,2,9.94,43.97,1,9.91,43.87
3,9.47,53.55,4,9.49,53.68,2,9.55,53.52,1,9.55,53.42
3,9.10,1:02.65,4,9.17,1:02.85,2,9.01,1:02.53,1,9.01,1:02.43
3,9.02,1:11.67,4,9.14,1:11.99,2,9.00,1:11.53,1,9.03,1:11.46
3,9.13,1:20.80,4,9.26,1:21.25,2,9.15,1:20.68,1,9.13,1:20.59
3,9.26,1:30.051,4,9.49,1:30.740,2,9.32,1:29.997,1,9.23,1:29.811
