Yvonne KUNZE POSITION,Yvonne KUNZE LAP TIME,Yvonne KUNZE ELAPSED TIME,KANG Yun-Mi POSITION,KANG Yun-Mi LAP TIME,KANG Yun-Mi ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Brigid FARRELL POSITION,Brigid FARRELL LAP TIME,Brigid FARRELL ELAPSED TIME
4,14.981,14.981,1,14.316,14.316,3,14.640,14.640,2,14.347,14.347
4,10.282,25.263,2,10.785,25.101,1,10.374,25.014,3,10.789,25.136
4,10.699,35.961,3,10.841,35.941,1,10.826,35.840,2,10.799,35.934
1,9.984,45.945,4,10.152,46.093,3,10.179,46.018,2,10.021,45.954
2,9.971,55.916,4,9.976,56.068,3,9.933,55.951,1,9.824,55.778
2,10.073,1:05.989,4,10.095,1:06.163,3,10.078,1:06.028,1,10.152,1:05.930
2,10.234,1:16.222,3,10.082,1:16.245,4,10.261,1:16.289,1,10.159,1:16.088
2,10.322,1:26.544,1,9.664,1:25.908,3,10.267,1:26.556,4,28.083,1:44.171
2,10.32,1:36.860,1,10.22,1:36.122,3,10.66,1:37.211,4,29.33,2:13.501
