Katsiarina SKLIARENKA POSITION,Katsiarina SKLIARENKA LAP TIME,Katsiarina SKLIARENKA ELAPSED TIME,Toko NANRI POSITION,Toko NANRI LAP TIME,Toko NANRI ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,Geneve BELANGER POSITION,Geneve BELANGER LAP TIME,Geneve BELANGER ELAPSED TIME,MYKHALCHUK Diana POSITION,MYKHALCHUK Diana LAP TIME,MYKHALCHUK Diana ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME
1,10.10,10.10,5,10.63,10.63,4,10.49,10.49,6,10.79,10.79,3,10.37,10.37,2,10.26,10.26
1,13.81,23.91,5,13.88,24.51,4,13.89,24.38,6,13.93,24.72,3,13.86,24.23,2,13.84,24.10
1,12.60,36.51,5,12.50,37.01,4,12.50,36.88,6,12.45,37.17,3,12.54,36.77,2,12.55,36.65
1,12.38,48.89,3,12.13,49.14,5,12.39,49.27,6,12.22,49.39,4,12.38,49.15,2,12.40,49.05
2,10.83,59.72,1,10.41,59.55,4,10.77,1:00.04,6,10.83,1:00.22,5,10.89,1:00.04,3,10.83,59.88
2,10.89,1:10.61,1,10.92,1:10.47,4,10.80,1:10.84,5,10.73,1:10.95,6,11.17,1:11.21,3,10.86,1:10.74
2,11.34,1:21.95,1,11.36,1:21.83,5,11.37,1:22.21,4,11.21,1:22.16,6,11.18,1:22.39,3,11.37,1:22.11
3,10.88,1:32.83,2,10.71,1:32.54,5,10.80,1:33.01,1,10.25,1:32.41,6,10.79,1:33.18,4,10.79,1:32.90
5,10.73,1:43.56,2,10.27,1:42.81,4,10.18,1:43.19,1,10.27,1:42.68,6,10.59,1:43.77,3,10.12,1:43.02
5,10.87,1:54.43,2,10.35,1:53.16,4,10.24,1:53.43,1,10.36,1:53.04,6,10.77,1:54.54,3,10.31,1:53.33
6,11.39,2:05.82,2,10.21,2:03.37,4,10.18,2:03.61,1,10.21,2:03.25,5,11.24,2:05.78,3,10.15,2:03.48
6,11.68,2:17.50,3,10.04,2:13.41,4,9.95,2:13.56,1,10.01,2:13.26,5,11.07,2:16.85,2,9.79,2:13.27
6,11.97,2:29.47,3,9.77,2:23.18,4,9.78,2:23.34,2,9.76,2:23.02,5,11.64,2:28.49,1,9.49,2:22.76
5,12.20,2:41.667,3,9.68,2:32.859,4,9.88,2:33.218,2,9.79,2:32.807,0,,PEN,1,9.76,2:32.511
