HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,SHUN Fan Yang POSITION,SHUN Fan Yang LAP TIME,SHUN Fan Yang ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME
2,13.77,13.77,4,14.12,14.12,5,14.17,14.17,3,13.87,13.87,1,13.62,13.62
2,10.92,24.69,4,10.82,24.94,5,10.96,25.13,3,10.86,24.73,1,10.97,24.59
3,10.09,34.78,4,10.18,35.12,5,10.05,35.18,1,9.75,34.48,2,10.09,34.68
3,9.79,44.57,5,15.39,50.51,4,9.73,44.91,1,9.95,44.43,2,9.84,44.52
1,9.20,53.77,5,14.88,1:05.39,4,9.54,54.45,2,9.50,53.93,3,9.54,54.06
1,9.40,1:03.17,5,12.64,1:18.03,4,9.67,1:04.12,2,9.34,1:03.27,3,9.36,1:03.42
1,9.40,1:12.57,5,14.03,1:32.06,4,10.13,1:14.25,2,9.41,1:12.68,3,9.40,1:12.82
1,9.41,1:21.98,5,13.48,1:45.54,4,10.52,1:24.77,2,9.40,1:22.08,3,9.40,1:22.22
1,9.09,1:31.071,5,13.84,1:59.375,4,10.79,1:35.560,2,9.39,1:31.466,3,9.40,1:31.616
