Kristina VUTEVA POSITION,Kristina VUTEVA LAP TIME,Kristina VUTEVA ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME
3,14.86,14.86,2,14.78,14.78,4,15.21,15.21,1,14.74,14.74
1,11.20,26.06,3,11.41,26.19,4,11.28,26.49,2,11.43,26.17
1,10.27,36.33,2,10.23,36.42,4,10.08,36.57,3,10.30,36.47
2,10.05,46.38,4,10.08,46.50,3,9.84,46.41,1,9.89,46.36
3,10.00,56.38,2,9.82,56.32,1,9.73,56.14,4,10.26,56.62
2,9.75,1:06.13,3,9.90,1:06.22,1,9.83,1:05.97,4,9.83,1:06.45
3,10.00,1:16.13,2,9.79,1:16.01,1,9.90,1:15.87,4,10.03,1:16.48
3,10.09,1:26.22,2,10.19,1:26.20,1,10.28,1:26.15,4,10.21,1:26.69
4,11.10,1:37.316,3,10.73,1:36.923,1,9.72,1:35.868,2,9.31,1:35.998
