Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Rosalie HUISMAN POSITION,Rosalie HUISMAN LAP TIME,Rosalie HUISMAN ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Magdalena SZWAJLIK POSITION,Magdalena SZWAJLIK LAP TIME,Magdalena SZWAJLIK ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME
1,9.61,9.61,4,10.03,10.03,2,9.76,9.76,6,10.18,10.18,3,9.89,9.89,5,10.16,10.16
5,14.69,24.30,1,14.16,24.19,4,14.53,24.29,2,14.10,24.28,3,14.39,24.28,6,14.39,24.55
5,12.20,36.50,2,12.01,36.20,1,11.82,36.11,4,12.16,36.44,3,12.03,36.31,6,12.12,36.67
5,12.19,48.69,3,12.36,48.56,1,12.26,48.37,4,12.22,48.66,2,12.17,48.48,6,12.21,48.88
5,11.60,1:00.29,1,11.35,59.91,2,11.67,1:00.04,4,11.58,1:00.24,3,11.74,1:00.22,6,11.59,1:00.47
2,10.17,1:10.46,3,10.65,1:10.56,4,10.62,1:10.66,1,10.21,1:10.45,5,10.59,1:10.81,6,10.46,1:10.93
1,10.13,1:20.59,3,10.23,1:20.79,4,10.24,1:20.90,2,10.29,1:20.74,5,10.21,1:21.02,6,10.23,1:21.16
1,10.83,1:31.42,3,10.76,1:31.55,4,10.77,1:31.67,2,10.73,1:31.47,5,10.84,1:31.86,6,10.78,1:31.94
1,10.61,1:42.03,3,10.68,1:42.23,4,10.65,1:42.32,2,10.67,1:42.14,5,10.59,1:42.45,6,10.63,1:42.57
2,10.70,1:52.73,3,10.53,1:52.76,4,10.57,1:52.89,1,10.41,1:52.55,5,10.65,1:53.10,6,10.67,1:53.24
4,10.25,2:02.98,2,9.90,2:02.66,3,10.00,2:02.89,1,10.07,2:02.62,6,10.34,2:03.44,5,10.18,2:03.42
4,10.05,2:13.03,1,9.50,2:12.16,3,10.03,2:12.92,2,9.74,2:12.36,6,10.76,2:14.20,5,9.94,2:13.36
4,10.31,2:23.34,1,9.68,2:21.84,3,10.34,2:23.26,2,9.64,2:22.00,6,11.29,2:25.49,5,10.16,2:23.52
4,10.68,2:34.016,1,9.88,2:31.712,3,10.67,2:33.923,2,9.84,2:31.833,6,11.80,2:37.281,5,10.67,2:34.182
