Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
2,13.43,13.43,3,13.57,13.57,4,13.68,13.68,1,13.36,13.36
2,10.13,23.56,1,9.87,23.44,4,10.03,23.71,3,10.27,23.63
2,9.69,33.25,1,9.71,33.15,4,9.71,33.42,3,9.71,33.34
2,9.38,42.63,1,9.42,42.57,4,9.42,42.84,3,9.39,42.73
2,9.31,51.94,1,9.26,51.83,4,9.27,52.11,3,9.28,52.01
2,9.14,1:01.08,1,9.09,1:00.92,4,9.18,1:01.29,3,9.16,1:01.17
2,8.83,1:09.91,1,8.97,1:09.89,4,9.15,1:10.44,3,8.89,1:10.06
1,8.70,1:18.61,3,8.98,1:18.87,4,9.34,1:19.78,2,8.79,1:18.85
1,8.94,1:27.543,0,,PEN,3,9.57,1:29.350,2,9.17,1:28.019
