Erika LINDGREN POSITION,Erika LINDGREN LAP TIME,Erika LINDGREN ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,DANNEEL Alexandra POSITION,DANNEEL Alexandra LAP TIME,DANNEEL Alexandra ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME
3,13.67,13.67,2,13.55,13.55,5,13.79,13.79,4,13.68,13.68,1,13.48,13.48
4,10.31,23.98,2,10.23,23.78,5,10.33,24.12,3,10.24,23.92,1,10.23,23.71
4,10.02,34.00,1,9.76,33.54,5,10.01,34.13,3,9.97,33.89,2,10.07,33.78
4,9.65,43.65,1,9.78,43.32,5,9.64,43.77,3,9.63,43.52,2,9.66,43.44
4,9.75,53.40,1,9.81,53.13,5,9.68,53.45,3,9.78,53.30,2,9.79,53.23
4,9.90,1:03.30,2,9.82,1:02.95,5,9.92,1:03.37,3,9.85,1:03.15,1,9.64,1:02.87
3,9.80,1:13.10,2,9.77,1:12.72,5,10.01,1:13.38,4,10.14,1:13.29,1,9.83,1:12.70
3,10.08,1:23.18,1,9.39,1:22.11,5,10.25,1:23.63,4,10.19,1:23.48,2,9.86,1:22.56
3,10.29,1:33.476,1,9.59,1:31.70,5,10.27,1:33.900,4,10.39,1:33.870,2,9.82,1:32.38
