TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME,SOMOGYI Barbara POSITION,SOMOGYI Barbara LAP TIME,SOMOGYI Barbara ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,ASCIC Valentina POSITION,ASCIC Valentina LAP TIME,ASCIC Valentina ELAPSED TIME,Jamie JURAK POSITION,Jamie JURAK LAP TIME,Jamie JURAK ELAPSED TIME
2,10.24,10.24,1,10.11,10.11,4,10.56,10.56,5,10.73,10.73,3,10.40,10.40,6,10.90,10.90
3,14.12,24.36,2,14.13,24.24,5,14.04,24.60,6,13.99,24.72,4,14.06,24.46,1,13.28,24.18
3,11.57,35.93,2,11.59,35.83,5,11.52,36.12,6,11.52,36.24,4,11.52,35.98,1,11.55,35.73
3,11.94,47.87,2,11.94,47.77,5,11.92,48.04,6,11.90,48.14,4,11.97,47.95,1,11.93,47.66
3,12.06,59.93,2,12.10,59.87,5,12.17,1:00.21,6,12.16,1:00.30,4,12.08,1:00.03,1,12.08,59.74
3,11.96,1:11.89,2,11.90,1:11.77,4,11.76,1:11.97,6,11.90,1:12.20,5,11.97,1:12.00,1,11.99,1:11.73
3,10.43,1:22.32,1,10.33,1:22.10,2,10.22,1:22.19,6,10.53,1:22.73,4,10.41,1:22.41,5,10.94,1:22.67
3,10.27,1:32.59,2,10.35,1:32.45,1,10.23,1:32.42,5,10.12,1:32.85,4,10.29,1:32.70,6,10.39,1:33.06
3,10.23,1:42.82,1,10.21,1:42.66,2,10.28,1:42.70,5,10.20,1:43.05,4,10.21,1:42.91,6,10.33,1:43.39
3,9.86,1:52.68,1,9.79,1:52.45,2,9.91,1:52.61,4,9.78,1:52.83,5,10.07,1:52.98,6,10.51,1:53.90
3,9.87,2:02.55,1,9.88,2:02.33,2,9.85,2:02.46,4,9.82,2:02.65,5,9.85,2:02.83,6,10.84,2:04.74
3,9.80,2:12.35,1,9.75,2:12.08,2,9.79,2:12.25,3,9.70,2:12.35,5,9.86,2:12.69,6,11.17,2:15.91
4,9.99,2:22.34,1,9.79,2:21.87,2,9.91,2:22.16,3,9.93,2:22.28,5,9.86,2:22.55,6,11.59,2:27.50
4,10.19,2:32.538,1,10.00,2:31.87,2,10.19,2:32.35,3,10.20,2:32.48,5,10.03,2:32.583,6,11.80,2:39.300
