Ivan MOJSILOVIC POSITION,Ivan MOJSILOVIC LAP TIME,Ivan MOJSILOVIC ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,de Vin WONG POSITION,de Vin WONG LAP TIME,de Vin WONG ELAPSED TIME,Mukerrem DENIZ POSITION,Mukerrem DENIZ LAP TIME,Mukerrem DENIZ ELAPSED TIME
1,7.45,7.45,5,7.75,7.75,3,7.57,7.57,2,7.52,7.52,4,7.69,7.69
1,9.88,17.33,2,9.69,17.44,4,9.90,17.47,5,10.24,17.76,3,9.77,17.46
2,9.46,26.79,1,9.31,26.75,4,9.54,27.01,5,9.34,27.10,3,9.40,26.86
5,10.26,37.05,1,9.24,35.99,3,9.31,36.32,4,9.44,36.54,2,9.27,36.13
5,9.89,46.923,1,9.30,45.273,3,9.33,45.629,4,9.52,46.038,2,9.25,45.371
