Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME
1,6.50,6.50,2,6.69,6.69,4,6.91,6.91,3,6.79,6.79
1,9.05,15.55,4,10.08,16.77,2,9.13,16.04,3,9.31,16.10
1,8.77,24.32,4,9.00,25.77,2,8.66,24.70,3,8.80,24.90
1,8.46,32.78,4,9.17,34.94,2,8.62,33.32,3,8.94,33.84
2,9.56,42.334,4,9.71,44.647,1,8.95,42.265,3,9.14,42.979
