Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME
2,13.05,13.05,3,13.19,13.19,1,12.95,12.95,4,13.30,13.30
3,9.87,22.92,1,9.48,22.67,2,9.83,22.78,4,9.70,23.00
3,9.21,32.13,2,9.35,32.02,1,9.07,31.85,4,9.23,32.23
3,9.04,41.17,2,8.99,41.01,1,9.04,40.89,4,9.09,41.32
3,8.78,49.95,2,8.81,49.82,1,8.83,49.72,4,8.74,50.06
3,8.76,58.71,2,8.80,58.62,1,8.77,58.49,4,8.77,58.83
3,8.78,1:07.49,2,8.76,1:07.38,1,8.78,1:07.27,4,8.85,1:07.68
3,8.73,1:16.22,2,8.74,1:16.12,1,8.77,1:16.04,4,8.92,1:16.60
2,8.83,1:25.041,3,9.01,1:25.129,1,8.90,1:24.932,4,9.16,1:25.756
