Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Myrtille GOLLIN POSITION,Myrtille GOLLIN LAP TIME,Myrtille GOLLIN ELAPSED TIME,Aida POPIOLEK POSITION,Aida POPIOLEK LAP TIME,Aida POPIOLEK ELAPSED TIME
4,13.872,13.872,2,13.696,13.696,1,13.674,13.674,3,13.741,13.741
1,10.851,24.723,4,11.195,24.890,2,11.072,24.745,3,11.086,24.826
4,10.853,35.575,3,10.648,35.538,1,10.559,35.304,2,10.558,35.384
4,10.601,46.176,3,10.605,46.142,1,10.628,45.931,2,10.704,46.087
4,10.503,56.679,3,10.469,56.611,1,10.596,56.527,2,10.503,56.590
4,10.388,1:07.066,2,10.059,1:06.670,1,10.141,1:06.667,3,10.401,1:06.991
3,10.002,1:17.068,1,9.821,1:16.490,2,10.058,1:16.725,4,10.318,1:17.308
3,10.045,1:27.112,1,10.036,1:26.526,2,10.152,1:26.877,4,10.647,1:27.955
3,10.23,1:37.336,1,10.47,1:36.988,2,10.27,1:37.142,4,11.25,1:39.199
