SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME
2,12.18,12.18,1,12.03,12.03,3,12.32,12.32,4,12.58,12.58
3,9.79,21.97,1,9.56,21.60,2,9.56,21.88,4,9.51,22.09
2,9.17,31.15,3,9.71,31.32,1,9.21,31.10,4,9.30,31.40
1,9.11,40.26,3,9.16,40.48,2,9.27,40.37,4,9.25,40.65
1,9.51,49.77,3,9.53,50.01,2,9.44,49.81,4,9.44,50.10
1,9.32,59.09,3,9.33,59.34,2,9.32,59.13,4,9.30,59.40
1,9.23,1:08.32,3,9.21,1:08.56,2,9.27,1:08.40,4,9.24,1:08.65
2,9.54,1:17.87,0,,,1,9.39,1:17.80,3,9.28,1:17.94
1,9.43,1:27.293,3,,1:27.785,0,,DQ,2,9.42,1:27.357
