Olga MASKAIKINA POSITION,Olga MASKAIKINA LAP TIME,Olga MASKAIKINA ELAPSED TIME,Aida POPIOLEK POSITION,Aida POPIOLEK LAP TIME,Aida POPIOLEK ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
3,19.906,19.906,2,19.809,19.809,1,19.570,19.570
1,16.571,36.477,3,17.029,36.838,2,17.060,36.631
1,13.866,50.343,2,13.672,50.510,3,14.022,50.652
2,11.837,1:02.179,3,11.768,1:02.278,1,11.413,1:02.065
2,11.266,1:13.445,3,11.263,1:13.541,1,11.224,1:13.289
2,10.999,1:24.444,3,11.068,1:24.609,1,11.094,1:24.383
2,10.163,1:34.607,3,10.168,1:34.778,1,10.063,1:34.446
2,9.958,1:44.565,3,9.877,1:44.654,1,9.896,1:44.342
2,9.997,1:54.562,3,10.094,1:54.748,1,9.985,1:54.327
2,11.260,1:13.430,3,11.260,1:13.520,1,11.220,1:13.270
2,10.990,1:24.430,3,11.060,1:24.590,1,11.090,1:24.370
2,10.160,1:34.590,3,10.160,1:34.760,1,10.060,1:34.430
2,9.950,1:44.550,3,9.870,1:44.640,1,9.890,1:44.320
2,9.990,1:54.540,3,10.090,1:54.730,1,9.980,1:54.310
